doi,n.scopus,n.wos,n.unmerged
"10.1186/s12885-017-3075-1",1,1,1
"10.1016/j.ifacol.2018.11.685",1,1,1
"10.1093/jopart/muaa013",1,1,1
"10.1016/j.ecolmodel.2014.03.019",1,1,1
"10.1155/2020/1047369",1,1,1
"10.1088/1757-899x/322/5/052015",1,1,1
"10.1177/0308518x15592314",1,1,1
"10.1016/j.cie.2016.02.024",1,1,1
"10.3233/aic-140654",1,1,1
"10.3390/ijerph18158146",1,1,1
"10.1371/journal.pcbi.1000630",1,1,1
"10.1007/s00338-021-02187-7",1,1,1
"10.3390/computers12050094",1,1,1
"10.1016/j.jocs.2020.101173",1,1,1
"10.1007/978-3-319-39883-9_14",1,1,1
"10.1049/cmu2.12371",1,1,1
"10.1109/iscmi51676.2020.9311553",1,1,1
"10.1142/s0129183106008832",1,1,1
"10.1002/jia2.25085",1,1,1
"10.1007/s11424-019-8087-2",1,1,1
"10.1109/tac.2018.2867594",1,1,1
"10.1016/j.ins.2014.12.011",1,1,1
"10.1007/s10552-016-0732-7",1,1,1
"10.1016/j.agwat.2016.07.018",1,1,1
"10.4018/ijdsst.2015040101",1,1,1
"10.1002/cae.21587",1,1,1
"10.18564/jasss.2993",1,1,1
"10.1016/j.ins.2009.12.029",1,1,1
"10.1111/coin.12175",1,1,1
"10.1016/j.eswa.2014.10.032",1,1,1
"10.1016/j.procs.2018.04.027",1,1,1
"10.1007/bf03037252",1,1,1
"10.1016/j.jclepro.2021.128169",1,1,1
"10.1371/journal.pone.0242148",1,1,1
"10.1016/j.biosystems.2008.07.001",1,1,1
"10.1177/0898264317715976",1,1,1
"10.1017/s0263574703004946",1,1,1
"10.4054/demres.2013.29.27",1,1,1
"10.18564/jasss.3393",1,1,1
"10.3390/agronomy11010085",1,1,1
"10.1007/978-3-030-42517-3_3",1,1,1
"10.1136/tobaccocontrol-2019-055482",1,1,1
"10.1016/j.seares.2010.03.006",1,1,1
"10.1080/1406099x.2016.1205407",1,1,1
"10.1177/1729881417716088",1,1,1
"10.1017/s0890060418000161",1,1,1
"10.1007/978-3-319-57819-4_5",1,1,1
"10.1016/j.enbuild.2019.05.053",1,1,1
"10.1109/cloudcom.2014.136",1,1,1
"10.1007/s11066-006-9005-z",1,1,1
"10.1001/jama.2023.4800",1,1,1
"10.3390/land4030607",1,1,1
"10.1080/00207179.2012.715753",1,1,1
"10.1007/978-3-319-39387-2_35",1,1,1
"10.1371/journal.pone.0153820",1,1,1
"10.1007/s11424-010-9273-4",1,1,1
"10.1109/tii.2012.2210430",1,1,1
"10.1016/j.annals.2020.103034",1,1,1
"10.1016/j.tourman.2015.05.015",1,1,1
"10.1109/jsac.2021.3087248",1,1,1
"10.1109/mits.2018.2879166",1,1,1
"10.23919/springsim.2019.8732867",2,0,0
"10.1111/j.1475-4932.2007.00417.x",1,1,1
"10.1057/jos.2011.26",1,1,1
"10.2981/13-021",1,1,1
"10.1111/1755-0998.13682",1,1,1
"10.1155/2020/4752986",1,1,1
"10.1109/jsyst.2021.3062444",1,1,1
"10.1007/s10588-016-9238-9",1,1,1
"10.1371/journal.pcbi.1007344",1,1,1
"10.1007/978-3-319-99582-3_28",1,1,1
"10.3390/socsci11070311",1,1,1
"10.1080/14737167.2023.2197213",1,1,1
"10.1007/s10614-018-9798-5",1,1,1
"10.3390/su12114393",1,1,1
"10.3390/sym13040544",1,1,1
"10.1016/j.procs.2018.04.088",1,1,1
"10.1080/17477778.2020.1774430",1,1,1
"10.1016/j.ijcard.2015.10.171",1,1,1
"10.1504/ijcse.2016.080208",1,1,1
"10.1080/1028415x.2019.1668173",1,1,1
"10.1145/3321619.3321645",1,1,1
"10.1002/etc.5336",1,1,1
"10.1088/1361-6544/ac149d",1,1,1
"10.1007/978-3-319-65172-9_38",1,1,1
"10.1016/j.procs.2010.04.008",1,1,1
"10.1016/j.jedc.2015.12.002",1,1,1
"10.3390/ijerph191610242",1,1,1
"10.1007/s13369-017-2905-4",1,1,1
"10.1142/s0129183110015981",1,1,1
"10.1007/s11432-017-9141-x",1,1,1
"10.1007/s00198-021-05955-x",1,1,1
"10.1016/j.scs.2017.01.014",1,1,1
"10.1016/j.inffus.2014.07.001",1,1,1
"10.1109/ical.2007.4339100",1,1,1
"10.1016/j.geb.2019.09.014",1,1,1
"10.1111/j.1600-0706.2008.16582.x",1,1,1
"10.1109/wi.2006.84",1,1,1
"10.1086/674442",1,1,1
"10.1080/21642583.2018.1480979",1,1,1
"10.1016/j.automatica.2022.110824",1,1,1
"10.1007/s10015-018-0453-y",1,1,1
"10.3390/s21082642",1,1,1
"10.1007/s12555-021-0937-8",1,1,1
"10.1007/s00170-006-0743-8",1,1,1
"10.1371/journal.pone.0201141",1,1,1
"10.1007/978-3-662-49619-0_11",1,1,1
"10.1016/j.eswa.2009.02.078",1,1,1
"10.1177/0037549711421942",1,1,1
"10.1007/978-3-319-24306-1_40",1,1,1
"10.1177/03611981221093998",1,1,1
"10.1109/tnnls.2022.3220806",1,1,1
"10.18564/jasss.3418",1,1,1
"10.3389/fphar.2021.718014",1,1,1
"10.17775/cseejpes.2020.03390",1,1,1
"10.1016/j.foreco.2008.04.028",1,1,1
"10.1007/978-3-319-27343-3_3",1,1,1
"10.1016/j.apenergy.2012.07.011",1,1,1
"10.1007/978-3-319-74727-9_56",1,1,1
"10.1093/infdis/jit843",1,1,1
"10.1016/j.eswa.2023.120643",1,1,1
"10.1109/tcns.2022.3210856",1,1,1
"10.1016/j.ssci.2011.11.010",1,1,1
"10.12989/anr.2022.13.6.587",1,1,1
"10.1177/09622802221122410",1,1,1
"10.1007/s11227-021-04094-8",1,1,1
"10.3390/app10165625",1,1,1
"10.1016/j.cie.2014.06.013",1,1,1
"10.1002/ajp.22542",1,1,1
"10.1049/elp2.12170",1,1,1
"10.1016/j.future.2019.10.020",1,1,1
"10.3390/electronics11223824",1,1,1
"10.1046/j.1365-2664.2000.00553.x",1,1,1
"10.1007/s11831-022-09729-4",1,1,1
"10.1016/j.physa.2020.124314",1,1,1
"10.1177/0361198120962491",1,1,1
"10.3389/fphy.2022.968409",1,1,1
"10.1142/s0219622014500151",1,1,1
"10.4018/jiit.2005040101",1,1,1
"10.1007/s10340-019-01169-7",1,1,1
"10.1002/asjc.2851",1,1,1
"10.1161/jaha.122.026308",1,1,1
"10.3233/af-150049",1,1,1
"10.1007/s13042-022-01505-x",1,1,1
"10.1016/j.techfore.2008.08.004",1,1,1
"10.1016/s0926-5805(00)00093-5",1,1,1
"10.1007/s12652-019-01206-4",1,1,1
"10.1177/03611981211002846",1,1,1
"10.1080/00207170903171330",1,1,1
"10.1038/s41598-019-38962-4",1,1,1
"10.3926/jiem.551",1,1,1
"10.1109/access.2019.2959600",1,1,1
"10.1016/j.enpol.2021.112682",1,1,1
"10.1111/coin.12257",1,1,1
"10.3991/ijet.v15i14.13837",1,1,1
"10.1080/19427867.2021.1916284",1,1,1
"10.1016/j.ygyno.2021.01.024",1,1,1
"10.1109/tcyb.2017.2651019",1,1,1
"10.1163/156855308x344882",1,1,1
"10.1002/cplx.20295",1,1,1
"10.1007/s12652-014-0231-1",1,1,1
"10.1371/journal.pone.0084526",1,1,1
"10.1177/14034948211061014",1,1,1
"10.1016/j.simpat.2022.102554",1,1,1
"10.1002/cplx.20244",1,1,1
"10.1145/3208903.3214348",1,1,1
"10.1109/tcyb.2023.3284648",1,1,1
"10.1038/s41598-021-98216-0",1,1,1
"10.3390/s23062925",1,1,1
"10.1155/2014/170968",1,1,1
"10.1007/s11071-014-1460-8",1,1,1
"10.1016/j.amc.2023.127879",1,1,1
"10.1088/0960-1317/19/1/015022",1,1,1
"10.1016/j.jmarsys.2010.05.011",1,1,1
"10.1016/j.automatica.2022.110571",1,1,1
"10.1016/j.jhe.2018.11.002",1,1,1
"10.1137/120897249",1,1,1
"10.1111/j.1468-0394.2010.00578.x",1,1,1
"10.1016/j.ifacol.2022.09.199",1,1,1
"10.1016/j.aspen.2010.01.003",1,1,1
"10.1086/652992",1,1,1
"10.3390/su15108262",1,1,1
"10.17310/ntj.2011.2s.02",1,1,1
"10.1007/s10015-016-0268-7",1,1,1
"10.1109/lcsys.2020.2988162",1,1,1
"10.1016/j.sysconle.2015.10.017",1,1,1
"10.1080/10630730600752868",1,1,1
"10.1016/j.jmatprotec.2009.11.011",1,1,1
"10.1016/j.compeleceng.2016.08.002",1,1,1
"10.1007/s10514-007-9080-5",1,1,1
"10.1007/978-3-319-26447-9_5",1,1,1
"10.1109/tie.2017.2701778",1,1,1
"10.1016/j.jval.2017.04.009",1,1,1
"10.1007/s12293-022-00384-7",1,1,1
"10.1098/rsos.180200",1,1,1
"10.1007/s10462-011-9228-8",1,1,1
"10.3233/ica-2009-0302",1,1,1
"10.3103/s0146411616050060",1,1,1
"10.1007/s10101-021-00252-z",1,1,1
"10.1007/s13748-012-0014-x",1,1,1
"10.1016/j.isatra.2015.05.008",1,1,1
"10.1016/j.promfg.2019.04.084",1,1,1
"10.1017/asb.2018.26",1,1,1
"10.1007/s13753-021-00387-x",1,1,1
"10.1016/j.ppees.2008.11.001",1,1,1
"10.1038/s41598-018-36654-z",1,1,1
"10.1109/access.2019.2946263",1,1,1
"10.1080/19388160.2016.1160847",1,1,1
"10.3390/fi9030048",1,1,1
"10.1016/j.compchemeng.2020.107193",1,1,1
"10.1109/tcyb.2020.2979342",1,1,1
"10.1016/j.scs.2019.101796",1,1,1
"10.1007/s00170-010-2986-7",1,1,1
"10.1002/env.2239",1,1,1
"10.1016/j.sysconle.2017.07.005",1,1,1
"10.1109/tcsii.2015.2482138",1,1,1
"10.1007/s10433-009-0111-2",1,1,1
"10.1007/s00779-017-1030-4",1,1,1
"10.3390/app13074251",1,1,1
"10.1080/088395198117848",1,1,1
"10.1016/j.scs.2021.102836",1,1,1
"10.1109/tste.2014.2310291",1,1,1
"10.1016/j.scient.2012.06.029",1,1,1
"10.1186/1471-2458-11-418",1,1,1
"10.1016/j.socscimed.2011.05.027",1,1,1
"10.4018/ijisscm.2020070104",1,1,1
"10.1016/s0165-0114(97)00257-1",1,1,1
"10.1016/j.renene.2018.01.019",1,1,1
"10.1109/lcsys.2022.3169999",1,1,1
"10.1016/j.aei.2021.101452",1,1,1
"10.5334/gjgl.620",1,1,1
"10.1061/(asce)ei.1943-5541.0000038",1,1,1
"10.1016/j.ecolind.2012.07.026",1,1,1
"10.1016/j.automatica.2022.110255",1,1,1
"10.1109/tie.2020.2970627",1,1,1
"10.1109/icter51097.2020.9325464",1,1,1
"10.1016/j.robot.2020.103689",1,1,1
"10.1098/rsos.140533",1,1,1
"10.1016/j.erss.2020.101611",1,1,1
"10.1080/00045608.2011.561126",1,1,1
"10.1007/978-3-319-29357-8_1",1,1,1
"10.1016/j.jebo.2016.12.017",1,1,1
"10.1503/cmaj.200990",1,1,1
"10.1016/j.apenergy.2019.113366",1,1,1
"10.3390/electronics12081908",1,1,1
"10.1007/978-3-319-62410-5_25",1,1,1
"10.1093/jopart/muy068",1,1,1
"10.1155/2017/8391325",1,1,1
"10.1142/s0219525922500114",1,1,1
"10.1016/j.enpol.2022.112823",1,1,1
"10.1177/0022002713515401",1,1,1
"10.1016/j.jbi.2019.103101",1,1,1
"10.1016/j.ecolmodel.2010.06.024",1,1,1
"10.3233/978-1-61499-105-2-128",1,1,1
"10.1007/s11538-016-0222-9",1,1,1
"10.1155/2021/8835067",1,1,1
"10.1098/rsos.191505",1,1,1
"10.1111/poms.13997",2,0,0
"10.1016/j.ecolecon.2021.107002",1,1,1
"10.1002/app5.274",1,1,1
"10.1109/ieem.2018.8607447",2,0,0
"10.1109/ifcsta.2009.36",1,1,1
"10.1179/1942787513y.0000000002",1,1,1
"10.1186/s40462-019-0149-5",1,1,1
"10.1016/j.jedc.2019.02.005",1,1,1
"10.1162/106454603321489518",1,1,1
"10.1007/s12155-011-9139-1",1,1,1
"10.1142/s0218194015500230",1,1,1
"10.1080/10494820.2019.1614634",1,1,1
"10.1109/dexa.2012.53",1,1,1
"10.24507/ijicic.18.01.289",1,1,1
"10.1103/physreve.102.062417",1,1,1
"10.1002/eap.1912",1,1,1
"10.3390/su151512037",1,1,1
"10.1007/s00285-015-0881-4",1,1,1
"10.1109/tie.2022.3153803",1,1,1
"10.1016/j.ecolmodel.2006.10.004",1,1,1
"10.1016/j.jclepro.2018.03.142",1,1,1
"10.1016/j.aap.2017.09.009",1,1,1
"10.1016/j.ecolmodel.2013.09.025",1,1,1
"10.1007/s13369-018-3164-8",1,1,1
"10.1080/15568318.2019.1579009",1,1,1
"10.3389/fbioe.2021.642760",1,1,1
"10.18564/jasss.4174",1,1,1
"10.1007/s10479-017-2515-2",1,1,1
"10.1145/3507910",1,1,1
"10.1016/j.jtrangeo.2013.08.002",1,1,1
"10.1007/978-3-319-19629-9_12",1,1,1
"10.1002/jid.1641",1,1,1
"10.1002/ecs2.3405",1,1,1
"10.1016/j.agsy.2018.03.010",1,1,1
"10.1016/j.trb.2005.09.006",1,1,1
"10.1007/s10462-004-4102-6",1,1,1
"10.1371/journal.pone.0179804",1,1,1
"10.18564/jasss.3799",1,1,1
"10.1016/j.eclinm.2021.101268",1,1,1
"10.1016/j.buildenv.2011.08.020",1,1,1
"10.1109/jiot.2019.2901796",1,1,1
"10.1016/s0378-4371(02)01795-8",1,1,1
"10.1109/entnet.2001.981991",1,1,1
"10.18564/jasss.4704",1,1,1
"10.1016/s0098-1354(00)00380-x",1,1,1
"10.1142/s1793351x15500087",1,1,1
"10.1016/j.rser.2019.05.038",1,1,1
"10.3390/land11030364",1,1,1
"10.1088/1748-9326/8/1/015028",1,1,1
"10.1109/saso.2018.00016",1,1,1
"10.1016/j.engappai.2018.07.001",1,1,1
"10.1002/jwmg.21433",1,1,1
"10.1007/978-3-319-21133-6_11",1,1,1
"10.4028/www.scientific.net/amr.139-141.1732",1,1,1
"10.1016/j.econlet.2009.12.011",1,1,1
"10.1016/j.oneear.2020.01.003",1,1,1
"10.1111/bju.14520",1,1,1
"10.1111/j.1558-5646.2007.00266.x",1,1,1
"10.18564/jasss.3676",1,1,1
"10.1093/jopart/muq045",1,1,1
"10.1007/s00521-019-04613-y",1,1,1
"10.1007/978-3-319-74454-4_53",1,1,1
"10.1016/j.automatica.2021.109934",1,1,1
"10.1007/s11042-011-0784-3",1,1,1
"10.21314/jntf.2017.034",1,1,1
"10.1016/j.jpeds.2022.09.028",1,1,1
"10.1007/s11704-010-0358-y",1,1,1
"10.1007/s10144-005-0220-5",1,1,1
"10.1177/23998083231186623",1,1,1
"10.1371/journal.pone.0249519",1,1,1
"10.1049/iet-cta.2014.0490",1,1,1
"10.1016/j.jfranklin.2014.11.021",1,1,1
"10.1016/j.ahj.2019.04.020",1,1,1
"10.1016/j.physa.2005.02.076",1,1,1
"10.1007/s11116-004-7962-3",1,1,1
"10.3389/frobt.2022.980586",1,1,1
"10.1016/j.ecolmodel.2005.06.005",1,1,1
"10.3390/en14175443",1,1,1
"10.1371/journal.pone.0244107",1,1,1
"10.1089/heq.2018.0089",1,1,1
"10.1155/2018/9502872",1,1,1
"10.1007/s12555-020-0768-z",1,1,1
"10.1029/2019wr027008",1,1,1
"10.2307/3802428",1,1,1
"10.1016/j.amar.2020.100138",1,1,1
"10.1007/s00265-022-03241-2",1,1,1
"10.1016/j.jval.2015.04.004",1,1,1
"10.1186/s40294-018-0055-5",1,1,1
"10.1016/s0304-3800(97)00111-7",1,1,1
"10.1016/j.advengsoft.2018.11.004",1,1,1
"10.1109/cis.2008.140",1,1,1
"10.1109/ecnn.2000.886233",1,1,1
"10.2307/1942032",1,1,1
"10.1016/j.rser.2021.111785",1,1,1
"10.1109/mis.2016.66",1,1,1
"10.18564/jasss.3316",1,1,1
"10.1016/j.jval.2018.07.880",1,1,1
"10.1109/tcyb.2017.2703945",1,1,1
"10.1109/nigercon54645.2022.9803066",1,1,1
"10.1111/fog.12078",1,1,1
"10.1016/j.foar.2020.06.003",1,1,1
"10.20965/jdr.2022.p0093",1,1,1
"10.3389/fmars.2018.00065",1,1,1
"10.4102/sajems.v21i1.1650",1,1,1
"10.3390/su13052709",1,1,1
"10.1007/s12555-019-0732-y",1,1,1
"10.1109/access.2020.2987098",1,1,1
"10.1155/2019/3429412",1,1,1
"10.1016/j.jocs.2011.08.002",1,1,1
"10.3141/2255-14",1,1,1
"10.1177/0033354917722149",1,1,1
"10.1371/journal.pone.0040599",1,1,1
"10.1016/j.marpolbul.2022.114354",1,1,1
"10.1109/jbhi.2018.2874185",1,1,1
"10.5220/0007577800800090",1,1,1
"10.1016/j.hjdsi.2016.11.001",1,1,1
"10.1016/j.engappai.2012.09.021",1,1,1
"10.3390/en10010045",1,1,1
"10.1109/tase.2021.3118008",1,1,1
"10.3233/mgs-2006-2303",1,1,1
"10.3141/2561-06",1,1,1
"10.1007/978-3-662-45523-4_28",1,1,1
"10.1007/978-3-319-11457-6_5",1,1,1
"10.3390/systems3040177",1,1,1
"10.1016/j.neucom.2018.05.054",1,1,1
"10.1111/j.1464-410x.2010.09460.x",1,1,1
"10.3390/fi10090091",1,1,1
"10.1007/s13253-010-0038-2",1,1,1
"10.1016/j.envsoft.2017.09.003",1,1,1
"10.1016/j.rsma.2018.08.012",1,1,1
"10.1186/s12859-022-04684-0",1,1,1
"10.1109/ssci50451.2021.9660008",1,1,1
"10.1109/tsipn.2019.2902493",1,1,1
"10.1007/s00223-009-9329-4",1,1,1
"10.3390/app10217745",1,1,1
"10.1016/j.ajic.2019.11.005",1,1,1
"10.1007/978-3-319-14980-6_19",1,1,1
"10.3141/2391-07",1,1,1
"10.1007/s00145-019-09319-x",1,1,1
"10.1080/00207179.2015.1126763",1,1,1
"10.1016/j.fm.2010.07.014",1,1,1
"10.1061/(asce)cp.1943-5487.0000313",1,1,1
"10.1007/978-3-319-43488-9_31",1,1,1
"10.1016/j.jhevol.2014.02.004",1,1,1
"10.3389/frobt.2020.00025",1,1,1
"10.1007/s00191-021-00750-7",1,1,1
"10.1080/00207179.2012.717722",1,1,1
"10.12785/amis/071l18",1,1,1
"10.1016/j.envsoft.2009.10.018",1,1,1
"10.1111/1365-2664.13535",1,1,1
"10.1115/1.4024463",1,1,1
"10.1109/laweb.2005.6",1,1,1
"10.3141/2197-14",1,1,1
"10.18564/jasss.2679",1,1,1
"10.1577/m07-106.1",1,1,1
"10.1016/j.automatica.2017.03.001",1,1,1
"10.17061/phrp32342216",1,1,1
"10.1111/j.1365-2389.2007.00900.x",1,1,1
"10.1093/logcom/exq013",1,1,1
"10.3389/frobt.2023.1163185",1,1,1
"10.1016/j.ejor.2004.03.042",1,1,1
"10.1109/jcn.2012.00033",1,1,1
"10.3389/fpsyg.2017.00469",1,1,1
"10.1155/2019/3928268",1,1,1
"10.1111/rode.12272",1,1,1
"10.1016/j.ecolmodel.2003.07.013",1,1,1
"10.1016/j.ifacol.2021.08.129",1,1,1
"10.1371/journal.pone.0152298",1,1,1
"10.1016/j.procir.2017.11.054",1,1,1
"10.1016/j.idm.2021.01.010",1,1,1
"10.1007/s10614-022-10256-4",1,1,1
"10.1109/cec.2008.4630895",1,1,1
"10.1111/j.1468-0084.2006.00156.x",1,1,1
"10.1057/rpm.2015.9",1,1,1
"10.1007/s00521-023-08838-w",1,1,1
"10.3390/w15040696",1,1,1
"10.18632/oncotarget.12233",1,1,1
"10.1007/s10115-017-1120-7",1,1,1
"10.1006/jema.1996.0005",1,1,1
"10.1002/rnc.4660",1,1,1
"10.3390/a11050064",1,1,1
"10.1109/tac.2021.3123222",1,1,1
"10.1016/j.enbuild.2015.11.067",1,1,1
"10.1007/s11235-016-0180-4",1,1,1
"10.1016/j.jval.2021.06.001",1,1,1
"10.1023/b:jims.0000042665.10086.cf",1,1,1
"10.1016/j.procs.2015.05.173",1,1,1
"10.1016/j.comnet.2017.04.040",1,1,1
"10.1136/bmjopen-2018-023453",1,1,1
"10.1007/s12555-022-0135-3",1,1,1
"10.1007/s40273-022-01165-3",1,1,1
"10.1016/j.tbs.2023.100590",1,1,1
"10.1007/s11403-015-0147-7",1,1,1
"10.1177/0037549712475097",1,1,1
"10.1016/j.ress.2021.108057",1,1,1
"10.1109/tte.2016.2540663",1,1,1
"10.15184/aqy.2016.35",1,1,1
"10.1371/journal.pone.0253395",1,1,1
"10.3233/mgs-200320",1,1,1
"10.1177/1059712320922915",1,1,1
"10.1016/j.jbi.2015.08.005",1,1,1
"10.1016/j.neucom.2019.01.061",1,1,1
"10.20965/jaciii.2011.p0226",1,1,1
"10.5772/46127",1,1,1
"10.1007/s00028-020-00667-x",1,1,1
"10.1177/1059712309350969",1,1,1
"10.1136/bmjopen-2016-015108",1,1,1
"10.1016/j.envsoft.2013.05.015",1,1,1
"10.18564/jasss.3161",1,1,1
"10.1016/j.ssci.2022.105862",1,1,1
"10.2147/ceor.s304600",1,1,1
"10.1016/j.trc.2007.12.001",1,1,1
"10.4039/tce.2018.3",1,1,1
"10.1109/snpd.2013.63",1,1,1
"10.1371/journal.pone.0032879",1,1,1
"10.1007/s00330-019-06453-9",1,1,1
"10.1016/j.ifacol.2020.12.2464",1,1,1
"10.1007/s12469-013-0081-9",1,1,1
"10.1016/j.jedc.2018.03.011",1,1,1
"10.1007/s11116-010-9264-2",1,1,1
"10.1016/j.eswa.2008.09.068",1,1,1
"10.2495/data070201",1,1,1
"10.1108/k-10-2018-0566",1,1,1
"10.1016/b978-0-12-409548-9.11165-0",2,0,0
